Name,IsBot,PlayerID,Team,TeamID,TeamScore,RoundNumber,Tick,Time,ClockTime,PosX,PosY,PosZ,VelX,VelY,VelZ,ViewDirectionX,ViewDirectionY,KillEvent,KilledBy,Killed,Assisters,Kills,Deaths,Assists,AttackedBy,Attackers,HealthDamageTaken,ArmorDamageTaken,BombPlanted,BombDefused,BombPlantSite,BombDefuseSite,FlashDuration
Trapper,true,2,Terrorists,2,0,0,64,1.00,114.00,1450.000000,483.000000,-159.868774,0.000000,0.000000,6.398438,132.858002,0.885773,false,,,,0,0,0,,,0,0,false,false,,,0.00
Dragomir,true,3,CounterTerrorists,3,0,0,64,1.00,114.00,-1087.226929,-1851.991333,-335.868774,0.000000,0.000000,6.398438,164.858093,0.885773,false,,,,0,0,0,,,0,0,false,false,,,0.00
Trapper,true,2,Terrorists,2,0,0,128,2.00,113.00,1450.000000,483.000000,-159.968750,0.000000,0.000000,0.000000,131.756287,1.269257,false,,,,0,0,0,,,0,0,false,false,,,0.00
Dragomir,true,3,CounterTerrorists,3,0,0,128,2.00,113.00,-1087.226929,-1851.991333,-335.968750,0.000000,0.000000,0.000000,163.756378,1.269257,false,,,,0,0,0,,,0,0,false,false,,,0.00
Trapper,true,2,Terrorists,2,0,0,192,3.00,112.00,1450.000000,483.000000,-159.968750,0.000000,0.000000,0.000000,130.729736,1.581696,false,,,,0,0,0,,,0,0,false,false,,,0.00
Dragomir,true,3,CounterTerrorists,3,0,0,192,3.00,112.00,-1087.226929,-1851.991333,-335.968750,0.000000,0.000000,0.000000,162.730164,1.581696,false,,,,0,0,0,,,0,0,false,false,,,0.00
Dragomir,true,3,CounterTerrorists,3,0,0,256,4.00,111.00,-1087.226929,-1851.991333,-335.968750,0.000000,0.000000,0.000000,162.103943,1.817902,false,,,,0,0,0,,,0,0,false,false,,,0.00
Trapper,true,2,Terrorists,2,0,0,256,4.00,111.00,1450.000000,483.000000,-159.968750,0.000000,0.000000,0.000000,130.104218,1.817902,false,,,,0,0,0,,,0,0,false,false,,,0.00
Trapper,true,2,Terrorists,2,0,0,320,5.00,110.00,1450.000000,483.000000,-159.968750,0.000000,0.000000,0.000000,130.090149,1.957977,false,,,,0,0,0,,,0,0,false,false,,,0.00
Dragomir,true,3,CounterTerrorists,3,0,0,320,5.00,110.00,-1087.226929,-1851.991333,-335.968750,0.000000,0.000000,0.000000,162.090210,1.957977,false,,,,0,0,0,,,0,0,false,false,,,0.00
Trapper,true,2,Terrorists,2,0,0,384,6.00,109.00,1450.000000,483.000000,-159.968750,0.000000,0.000000,0.000000,130.691650,1.998825,false,,,,0,0,0,,,0,0,false,false,,,0.00
Dragomir,true,3,CounterTerrorists,3,0,0,384,6.00,109.00,-1087.226929,-1851.991333,-335.968750,0.000000,0.000000,0.000000,162.691376,1.998825,false,,,,0,0,0,,,0,0,false,false,,,0.00
Trapper,true,2,Terrorists,2,0,0,448,7.00,108.00,1450.000000,483.000000,-159.968750,0.000000,0.000000,0.000000,131.718170,1.937027,false,,,,0,0,0,,,0,0,false,false,,,0.00
Dragomir,true,3,CounterTerrorists,3,0,0,448,7.00,108.00,-1087.226929,-1851.991333,-335.968750,0.000000,0.000000,0.000000,163.717590,1.937027,false,,,,0,0,0,,,0,0,false,false,,,0.00
Trapper,true,2,Terrorists,2,0,0,512,8.00,107.00,1450.000000,483.000000,-159.968750,0.000000,0.000000,0.000000,132.832275,1.778076,false,,,,0,0,0,,,0,0,false,false,,,0.00
Dragomir,true,3,CounterTerrorists,3,0,0,512,8.00,107.00,-1087.226929,-1851.991333,-335.968750,0.000000,0.000000,0.000000,164.832703,1.778076,false,,,,0,0,0,,,0,0,false,false,,,0.00
Dragomir,true,3,CounterTerrorists,3,0,0,576,9.00,106.00,-1087.226929,-1851.991333,-335.968750,0.000000,0.000000,0.000000,165.679993,1.524689,false,,,,0,0,0,,,0,0,false,false,,,0.00
Trapper,true,2,Terrorists,2,0,0,576,9.00,106.00,1450.000000,483.000000,-159.968750,0.000000,0.000000,0.000000,133.679565,1.524689,false,,,,0,0,0,,,0,0,false,false,,,0.00
Dragomir,true,3,CounterTerrorists,3,0,0,640,10.00,105.00,-1087.226929,-1851.991333,-335.968750,0.000000,0.000000,0.000000,165.984528,1.196823,false,,,,0,0,0,,,0,0,false,false,,,0.00
Trapper,true,2,Terrorists,2,0,0,640,10.00,105.00,1450.000000,483.000000,-159.968750,0.000000,0.000000,0.000000,133.984100,1.196823,false,,,,0,0,0,,,0,0,false,false,,,0.00
Trapper,true,2,Terrorists,2,0,0,704,11.00,104.00,1450.000000,483.000000,-159.968750,0.000000,0.000000,0.000000,133.649353,0.800964,false,,,,0,0,0,,,0,0,false,false,,,0.00
Dragomir,true,3,CounterTerrorists,3,0,0,704,11.00,104.00,-1087.226929,-1851.991333,-335.968750,0.000000,0.000000,0.000000,165.649445,0.800964,false,,,,0,0,0,,,0,0,false,false,,,0.00
Trapper,true,2,Terrorists,2,0,0,768,12.00,103.00,1450.000000,483.000000,-159.968750,0.000000,0.000000,0.000000,132.782837,0.371475,false,,,,0,0,0,,,0,0,false,false,,,0.00
Dragomir,true,3,CounterTerrorists,3,0,0,768,12.00,103.00,-1087.226929,-1851.991333,-335.968750,0.000000,0.000000,0.000000,164.782898,0.371475,false,,,,0,0,0,,,0,0,false,false,,,0.00
Trapper,true,2,Terrorists,2,0,0,832,13.00,102.00,1450.000000,483.000000,-159.968750,0.000000,0.000000,0.000000,131.663574,-0.080688,false,,,,0,0,0,,,0,0,false,false,,,0.00
Dragomir,true,3,CounterTerrorists,3,0,0,832,13.00,102.00,-1087.226929,-1851.991333,-335.968750,0.000000,0.000000,0.000000,163.663666,-0.080688,false,,,,0,0,0,,,0,0,false,false,,,0.00
Trapper,true,2,Terrorists,2,0,0,896,14.00,101.00,1450.000000,483.000000,-159.968750,0.000000,0.000000,0.000000,130.652832,-0.525635,false,,,,0,0,0,,,0,0,false,false,,,0.00
Dragomir,true,3,CounterTerrorists,3,0,0,896,14.00,101.00,-1087.226929,-1851.991333,-335.968750,0.000000,0.000000,0.000000,162.652924,-0.525635,false,,,,0,0,0,,,0,0,false,false,,,0.00
Trapper,true,2,Terrorists,2,0,0,960,15.00,100.00,1450.000000,483.000000,-159.968750,0.000000,0.000000,0.000000,130.076050,-0.951004,false,,,,0,0,0,,,0,0,false,false,,,0.00
Dragomir,true,3,CounterTerrorists,3,0,0,960,15.00,100.00,-1087.226929,-1851.991333,-335.968750,0.000000,0.000000,0.000000,162.076141,-0.951004,false,,,,0,0,0,,,0,0,false,false,,,0.00
Trapper,true,2,Terrorists,2,0,0,1024,16.00,99.00,1450.000000,483.000000,-159.968750,0.000000,0.000000,0.000000,130.121735,-1.320068,false,,,,0,0,0,,,0,0,false,false,,,0.00
